code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
506761,Alojzov,205,145,144,29,0,0,9,0,5,17,4,1,1,0,0,18
589268,Bedihošť,834,527,524,51,0,0,28,1,13,123,2,2,14,1,0,34
589276,Bílovice-Lutotín,431,279,275,13,0,0,32,0,8,40,1,0,4,0,0,30
589284,Biskupice,238,132,131,14,0,0,9,0,5,24,2,1,1,0,0,10
589292,Bohuslavice,376,236,236,20,0,0,23,0,3,22,3,4,6,0,1,17
589306,Bousín,107,67,67,5,0,0,4,0,3,14,0,2,0,0,0,7
589314,Brodek u Konice,695,460,460,25,0,0,32,0,20,47,3,4,5,0,0,38
589322,Brodek u Prostějova,1224,656,655,54,0,0,42,0,21,61,5,4,11,1,2,57
589331,Březsko,178,111,111,9,1,0,9,0,6,3,0,3,1,0,0,10
589349,Budětsko,331,208,206,6,0,0,24,0,6,22,1,3,2,0,0,7
589357,Buková,264,170,169,16,0,0,19,0,3,33,2,0,3,0,0,14
589365,Čehovice,426,281,280,16,0,0,27,0,8,42,5,7,5,0,0,18
589381,Čechy pod Kosířem,814,512,512,25,1,0,66,1,20,79,7,7,6,0,0,31
589390,Čelčice,437,272,272,21,0,0,23,1,10,46,5,0,3,0,1,18
589403,Čelechovice na Hané,1063,649,642,49,0,1,45,0,63,76,2,3,0,1,0,43
589420,Dětkovice,427,284,281,19,0,0,12,0,6,47,2,4,4,1,0,38
589438,Dobrochov,270,172,170,13,0,0,14,1,7,13,5,2,3,0,0,13
589446,Dobromilice,629,308,308,9,0,4,22,0,14,42,1,0,1,0,0,10
589454,Doloplazy,459,244,244,24,1,0,20,0,5,37,2,0,3,0,0,12
589462,Drahany,443,290,287,11,0,0,29,0,28,44,2,6,6,0,0,9
558419,Držovice,1139,748,742,78,1,0,42,3,40,45,4,6,5,0,9,60
589489,Dřevnovice,380,220,219,6,0,0,15,0,4,28,1,1,0,0,0,24
589497,Dzbel,209,133,133,2,1,0,11,0,5,22,0,1,1,0,0,6
549967,Hačky,83,67,65,4,0,1,10,1,4,0,0,0,3,0,0,0
589501,Hluchov,292,174,173,9,0,0,9,0,4,25,5,0,6,0,0,7
589519,Horní Štěpánov,749,454,452,16,0,0,56,0,10,48,1,4,1,0,1,41
589527,Hradčany-Kobeřice,326,196,194,11,0,0,16,0,5,24,1,0,1,1,1,14
589535,Hrdibořice,178,109,109,12,0,0,3,0,2,22,1,0,3,0,0,10
589543,Hrubčice,617,376,374,35,0,0,24,0,14,44,0,4,4,0,0,35
543543,Hruška,191,90,88,3,0,0,1,0,4,18,0,0,0,0,0,4
589560,Hvozd,524,340,336,16,1,0,34,0,14,42,2,7,4,0,1,30
589578,Ivaň,390,238,237,32,0,0,7,0,1,36,1,3,0,0,0,15
589586,Jesenec,246,139,139,6,2,0,9,0,4,14,0,4,0,0,2,5
589594,Kladky,289,140,140,7,3,0,17,0,2,17,0,3,2,0,2,9
589608,Klenovice na Hané,654,355,354,13,2,0,17,1,7,61,1,0,5,1,0,31
589616,Klopotovice,238,165,165,6,0,0,20,0,5,33,3,0,0,1,1,10
589624,Konice,2285,1393,1358,91,3,0,158,2,69,154,14,8,15,0,1,94
589632,Kostelec na Hané,2302,1334,1323,97,0,0,130,1,47,86,22,9,10,0,5,112
589641,Koválovice-Osíčany,232,152,151,4,0,0,14,1,3,25,1,0,3,0,0,5
589659,Kralice na Hané,1257,807,804,96,1,2,53,2,39,57,5,9,4,2,0,69
589667,Krumsín,465,284,284,22,0,0,30,1,8,34,1,0,0,1,0,22
589675,Laškov,487,335,334,15,1,0,18,1,9,30,3,0,5,0,0,23
589683,Lešany,320,196,194,22,1,0,10,0,2,17,7,2,5,0,0,11
589691,Lipová,615,450,449,24,0,0,39,0,16,51,1,1,4,0,0,21
589705,Ludmírov,480,239,239,11,0,0,25,0,11,28,0,2,3,0,0,10
589713,Malé Hradisko,309,185,185,18,0,3,19,0,13,23,3,1,0,0,0,7
589721,Mořice,422,226,223,8,0,0,20,0,22,39,2,2,1,0,0,9
589730,Mostkovice,1248,842,836,98,1,1,55,0,23,59,7,2,3,0,2,58
589748,Myslejovice,569,371,370,31,0,0,31,0,10,54,2,3,0,2,0,47
589756,Němčice nad Hanou,1612,942,939,79,1,4,96,0,23,110,6,6,4,3,1,44
589764,Nezamyslice,1140,619,615,51,2,0,56,0,27,58,4,6,2,1,1,35
589772,Niva,257,160,160,6,0,0,26,0,7,32,1,1,2,0,0,10
